face_image_path,classification_label
test_images/all_lfw/Donna_Barrera_0001.jpg,2
test_images/all_lfw/Luis_Horna_0001.jpg,2
test_images/all_lfw/Bob_Graham_0006.jpg,2
test_images/all_lfw/Tom_Daschle_0010.jpg,2
test_images/all_lfw/George_W_Bush_0292.jpg,2
test_images/all_lfw/Marc_Racicot_0001.jpg,2
test_images/all_lfw/Stacey_Yamaguchi_0001.jpg,0
test_images/all_lfw/Tony_Blair_0109.jpg,2
test_images/all_lfw/Takeshi_Kitano_0001.jpg,2
test_images/all_lfw/Christina_Sawaya_0001.jpg,1
test_images/all_lfw/Wesley_Clark_0001.jpg,2
test_images/all_lfw/Abraham_Foxman_0001.jpg,2
test_images/all_lfw/George_W_Bush_0031.jpg,2
test_images/all_lfw/Stephen_Cooper_0001.jpg,2
test_images/all_lfw/Kieran_Prendergast_0002.jpg,2
test_images/all_lfw/Jose_Manuel_Durao_Barroso_0002.jpg,2
test_images/all_lfw/Mel_Karmazin_0001.jpg,2
test_images/all_lfw/George_W_Bush_0271.jpg,2
test_images/all_lfw/Robert_Mueller_0003.jpg,2
test_images/all_lfw/Alejandro_Toledo_0034.jpg,2
test_images/all_lfw/Mark_Philippoussis_0004.jpg,2
test_images/all_lfw/John_Ashcroft_0039.jpg,2
test_images/all_lfw/Leo_Mullin_0001.jpg,2
test_images/all_lfw/George_W_Bush_0383.jpg,2
test_images/all_lfw/David_Beckham_0006.jpg,1
test_images/all_lfw/Gunter_Pleuger_0003.jpg,1
test_images/all_lfw/Mohammad_Khatami_0007.jpg,2
test_images/all_lfw/Mahmoud_Abbas_0008.jpg,2
test_images/all_lfw/Chuck_Yeager_0001.jpg,2
test_images/all_lfw/Norodom_Sihanouk_0002.jpg,1
test_images/all_lfw/Mitar_Rasevic_0001.jpg,2
test_images/all_lfw/Ray_Romano_0009.jpg,2
test_images/all_lfw/Gonzalo_Sanchez_de_Lozada_0001.jpg,2
test_images/all_lfw/William_Ford_Jr_0007.jpg,2
test_images/all_lfw/Martha_Smith_0001.jpg,2
test_images/all_lfw/David_Beckham_0012.jpg,2
test_images/all_lfw/Ralph_Fiennes_0001.jpg,2
test_images/all_lfw/Luther_Htu_0001.jpg,0
test_images/all_lfw/Sebastian_Cuattrin_0001.jpg,2
test_images/all_lfw/Celine_Dion_0002.jpg,1
test_images/all_lfw/George_W_Bush_0202.jpg,2
test_images/all_lfw/Gerhard_Schroeder_0021.jpg,2
test_images/all_lfw/Crispin_Glover_0001.jpg,1
test_images/all_lfw/Dennis_Powell_0001.jpg,2
test_images/all_lfw/Zarai_Toledo_0001.jpg,1
test_images/all_lfw/Guillermo_Coria_0026.jpg,2
test_images/all_lfw/Ashton_Kutcher_0002.jpg,1
test_images/all_lfw/Heinz_Feldmann_0002.jpg,2
test_images/all_lfw/Catherine_Zeta-Jones_0002.jpg,2
test_images/all_lfw/Eric_Rosser_0001.jpg,2
test_images/all_lfw/Alvaro_Noboa_0001.jpg,2
test_images/all_lfw/Inocencio_Arias_0001.jpg,1
test_images/all_lfw/Chick_Hearn_0001.jpg,2
test_images/all_lfw/Martin_McGuinness_0005.jpg,2
